int_chllS_1000,int_chllS_300,oc,kd,Var5,Var6,Var7,Var8,Var9
-5.32233248685138e-05,-1.47427027764161e-07,0.260213673114777,0.0509999987116316,-74.67847,-74.67847,2018,9,27
-0.000164959130183061,-1.2306715254444e-07,0.289225161075592,0.0551999986055307,-74.68251,-74.68251,2018,9,27
0.000264618739565673,-1.55894418218998e-07,0.292798936367035,0.054599998620688,-74.6916,-74.6916,2018,9,27
-9.55410723864135e-05,-8.8775756248793e-08,0.34811207652092,0.0583999985246919,-74.69769,-74.69769,2018,9,27
4.6168379199212e-05,-8.07044883138721e-08,0.325247079133987,0.0591999985044822,-74.6937,-74.6937,2018,9,27
-3.59619086707697e-05,-9.54894402265892e-08,0.31207200884819,0.0577999985398492,-74.69312,-74.69312,2018,9,27
3.55406948484878e-05,-9.96021238938505e-08,0.321747243404388,0.0579999985347968,-74.69894,-74.69894,2018,9,27
-2.00727451757365e-07,-8.30530062532065e-08,0.563891708850861,0.0755999980901834,-74.70197,-74.70197,2018,9,28
4.31315695148355e-05,-8.19696560286121e-08,0.850217759609222,0.097399997539469,-74.70063,-74.70063,2018,9,28
-3.70758545790422e-05,-7.28901063619765e-08,0.833019852638245,0.0961999975697836,-74.70007,-74.70007,2018,9,28
1.92960713910181e-05,-5.88263215124073e-08,1.00723218917847,0.108199997266638,-74.70546,-74.70546,2018,9,28
-8.36127021824223e-05,-6.04535969557882e-08,0.813431918621063,0.0947999976051506,-74.70393,-74.70393,2018,9,28
-5.31463498541183e-05,-5.91077666363937e-08,0.633586823940277,0.0811999979487155,-74.70571,-74.70571,2018,9,28
2.36587955939502e-05,-5.94472111848384e-08,0.283781170845032,0.0505999987217365,-74.70303,-74.70303,2018,9,28
-3.59743129101469e-05,-7.88346821878389e-08,0.216262146830559,0.0457999988429947,-74.69416,-74.69416,2018,9,28
7.13093162807738e-05,-8.61285418508646e-08,0.555030167102814,0.0747999981103931,-74.68076,-74.68076,2018,9,29
8.4194634722022e-05,-7.59628470336927e-08,0.214184477925301,0.0485999987722607,-74.66432,-74.66432,2018,9,29
0.000263058847355455,-7.47151118319896e-08,0.868526041507721,0.0987999975041021,-74.66978,-74.66978,2018,9,29
9.74268631891708e-05,-6.24077868825213e-08,1.01269793510437,0.108599997256533,-74.69173,-74.69173,2018,9,29
4.74961319886318e-05,-5.97407356711605e-08,0.904076218605042,0.101199997443473,-74.69521,-74.69521,2018,9,29
2.89514915248915e-05,-5.3485841263055e-08,0.957009613513947,0.104799997352529,-74.69411,-74.69411,2018,9,29
2.63274730244559e-05,-5.9453103955427e-08,1.12981605529785,0.116399997059489,-74.69833,-74.69833,2018,9,29
-1.10818416363934e-05,-1.16936694730318e-07,0.37288573384285,0.063999998383224,-74.69302,-74.69302,2018,10,1
5.39116136994038e-05,-1.02592935043522e-07,0.341009825468063,0.0617999984388007,-74.69841,-74.69841,2018,10,1
0.00125324930754535,-1.14887132523079e-07,0.243652537465096,0.243652537465096,-74.68085,-74.68085,2018,10,1
-0.000788487832526837,-1.3642796786915e-07,0.426128655672073,0.0661999983276473,-74.67988,-74.67988,2018,10,1
0.000426854950637669,-1.67647708618005e-07,0.120967172086239,0.120967172086239,-74.68134,-74.68134,2018,10,1
-6.79887489958607e-06,-1.18088660122323e-07,0.494618386030197,0.070599998216494,-74.68515,-74.68515,2018,10,2
0.00367094209609633,-1.20940147332615e-07,0.560527861118317,0.0753999980952358,-74.67746,-74.67746,2018,10,2
0.000245456883033608,-1.29123555994978e-07,0.693795442581177,0.0859999978274573,-74.6637,-74.6637,2018,10,2
3.22590266607944e-05,-1.22660899370617e-07,0.601372241973877,0.0837999978830339,-74.66016,-74.66016,2018,10,2
0.000369230034330424,-1.18926955842607e-07,0.655028581619263,0.0829999979032436,-74.66073,-74.66073,2018,10,2
0.000161322561947955,-1.3123149834287e-07,0.574704885482788,0.0827999979082961,-74.65575,-74.65575,2018,10,2
